Rank,Title,Score,Episodes
1,Fullmetal Alchemist: Brotherhood,9.10,TV
2,Bleach: Sennen Kessen-hen,9.07,TV
3,Steins;Gate,9.07,TV
4,Gintama°,9.06,TV
5,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.05,TV
6,Shingeki no Kyojin Season 3 Part 2,9.05,TV
7,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.05,Special
8,Gintama',9.04,TV
9,Gintama: The Final,9.04,Movie
10,Hunter x Hunter (2011),9.04,TV
11,Gintama': Enchousen,9.03,TV
12,Ginga Eiyuu Densetsu,9.02,OVA
13,Fruits Basket: The Final,9.00,TV
14,Gintama.,8.98,TV
15,"""Oshi no Ko""",8.97,TV
16,Gintama,8.94,TV
17,Koe no Katachi,8.94,Movie
18,3-gatsu no Lion 2nd Season,8.93,TV
19,Clannad: After Story,8.93,TV
20,Code Geass: Hangyaku no Lelouch R2,8.91,TV
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie
22,Violet Evergarden Movie,8.90,Movie
23,Owarimonogatari 2nd Season,8.88,TV
24,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV
25,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.87,Movie
26,Monster,8.87,TV
27,Kimi no Na wa.,8.85,Movie
28,Bocchi the Rock!,8.85,TV
29,Vinland Saga Season 2,8.84,TV
30,Gintama.: Shirogane no Tamashii-hen,8.81,TV
31,Kingdom 3rd Season,8.81,TV
32,Kimetsu no Yaiba: Yuukaku-hen,8.80,TV
33,Mob Psycho 100 II,8.80,TV
34,Shingeki no Kyojin: The Final Season,8.80,TV
35,Kizumonogatari III: Reiketsu-hen,8.79,Movie
36,Sen to Chihiro no Kamikakushi,8.78,Movie
37,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV
38,Monogatari Series: Second Season,8.77,TV
39,Shingeki no Kyojin: The Final Season Part 2,8.77,TV
40,Hajime no Ippo,8.76,TV
41,Cowboy Bebop,8.75,TV
42,Kingdom 4th Season,8.75,TV
43,Vinland Saga,8.74,TV
44,Mushishi Zoku Shou 2nd Season,8.73,TV
45,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.73,TV
46,Mob Psycho 100 III,8.72,TV
47,Shiguang Dailiren,8.72,ONA
